TF	max_idx	max_cutoff	max_f1
RAD21	23125	0.25002454942693697	0.43945832874600893
ZNF143	29366	0.20476765371049277	0.4070837612136948
SMC3	28172	0.20952724534315473	0.40407201283397043
CTCF	29669	0.2026487653819571	0.3922232264764139
TRIM22	32873	0.18234695159132344	0.3730408092842483
RUNX3	30691	0.18862583413333303	0.3671105745652092
BHLHE40	34784	0.1712065821104847	0.35845849178948846
SMARCA5	31207	0.18404924069797945	0.356723615836106
ZNF592	32930	0.17745983768530132	0.3555354394858333
RELA	35368	0.16713053906177683	0.34999479690589336
RB1	38811	0.15766603576681354	0.3465999247517626
YY1	36136	0.16270354392656572	0.3457900725359124
MAZ	34671	0.1687385271949879	0.34314913343517883
ELF1	35457	0.16619318828316915	0.34205698064873474
ZNF24	33961	0.17026587372660038	0.3401556337277476
SKIL	42376	0.146645521248118	0.3371199826896029
BATF	36448	0.1630089115362907	0.33535889972595284
CBX5	36755	0.16148294824544993	0.33517283407251924
CREM	35254	0.16632620418734648	0.3339065784216652
POLR3G	40076	0.15154350675411646	0.33246693802821503
TBL1XR1	37532	0.16018389557245538	0.3323751587672973
HSF1	38800	0.15594329762883868	0.3313102814775933
NBN	37304	0.1593595953103243	0.33019042336845994
HCFC1	42790	0.14484003056319014	0.32881856799852244
TBX21	38329	0.15812337403801707	0.3282332897762046
ESRRA	36320	0.16287780521740178	0.3278431104814897
RCOR1	37725	0.1589881173566563	0.32773767649657426
MYB	41048	0.14973509710239608	0.32579528753614945
FOS	41154	0.15035875880851637	0.32463475434665995
NFIC	39785	0.1527935936560583	0.3231832015587511
MTA3	40111	0.15151851842371747	0.32311486962649755
MAX	38848	0.15548127751125065	0.32280334385786963
STAT3	39393	0.15407857255104712	0.32244871461957936
TBP	42632	0.14593568376184554	0.3217538984097576
MXI1	40553	0.15014057324976834	0.3216033930194365
TARDBP	40131	0.15115502145122822	0.3215320811516229
ATF7	39959	0.1523328406358676	0.3213359743626907
MLLT1	42581	0.1450637032507825	0.3213011445252769
WRNIP1	38564	0.1558311657720067	0.3201499161653023
RELB	40901	0.14957090213734575	0.3198414585810543
CEBPZ	40086	0.15186652420486285	0.31967029090092686
IKZF1	37081	0.15886260238428804	0.3196192919099531
CHD2	43784	0.14240874830450773	0.31927189988623433
ZNF207	44716	0.13974991056760105	0.31921317748348327
MEF2C	39231	0.15368066064973057	0.3181086486398595
CBFB	43872	0.14144541955897016	0.3178583838170199
STAT1	41340	0.1477034081903704	0.3172459284154979
ZNF384	40899	0.14894307244746968	0.31718494790758156
RFX5	42939	0.14381805877337028	0.3168447555883075
EBF1	40618	0.1490524685732783	0.3154104733228186
E2F4	39987	0.1511037159786158	0.3153034300791557
EED	41842	0.145816120927339	0.31450343613158593
ZEB1	42948	0.14368870153036675	0.3141253680078508
ELK1	47571	0.13357028544618765	0.31395448690425076
NFYB	42118	0.14357646401446697	0.31374082823573585
CUX1	42325	0.144444432653335	0.31368052435037264
NRF1	43887	0.14115112925741108	0.3134569748635862
ZNF217	40932	0.14744417538689322	0.31341415101814435
JUND	38477	0.15443860737182513	0.31302368542587583
CHD1	41798	0.14598628024389806	0.31291240579166274
ZZZ3	41246	0.14646626536180213	0.31249010104849695
IRF3	45156	0.13738772725353615	0.311639419585291
