TF	max_idx	max_cutoff	max_f1
TRIM22	37966	0.2100918102700954	0.4205941412709662
ZNF143	34276	0.22554998221533049	0.4173785848777679
SMC3	35586	0.21627016989333203	0.4139435545385202
RAD21	34722	0.22204719275765883	0.41237240952675536
RUNX3	35556	0.20354134482632874	0.37769235462810424
CTCF	37500	0.19779319926122668	0.3701716420122729
BHLHE40	39929	0.18377042168365224	0.36215016820556867
RELA	38494	0.18693587210954624	0.36191561144459533
SMARCA5	45030	0.16742458678590041	0.3587008692869713
ZNF592	39607	0.18298991923982452	0.35543164278631273
RB1	43868	0.169767875225366	0.35146658725754276
ELF1	39882	0.18004762357924886	0.3496299265579591
SKIL	42075	0.17451469039108133	0.3486836629955336
MAZ	43122	0.1705175687441272	0.3443641539387967
ZNF24	45369	0.16417922633595847	0.3426365638182156
CBX5	43887	0.1684798847926848	0.3413412736008662
TARDBP	43821	0.1678079080698858	0.3396287942607136
TBL1XR1	44044	0.16788110415813534	0.33560366496391797
CREM	43341	0.16884284907692998	0.3355517975015002
BATF	42157	0.1721967862958641	0.3355200199714297
ARNT	45113	0.16246004778942447	0.33439698794376427
POLR3G	51161	0.15260893141810355	0.33438239589103175
NBN	48062	0.15551168134312954	0.3334574160836916
TBX21	43714	0.16643488900213868	0.33247552523725876
ESRRA	45344	0.1638028801987905	0.33211547914812206
HSF1	46494	0.16076013506669157	0.3317210009569127
RCOR1	47503	0.15943338328896045	0.3307125243683592
FOS	43956	0.16786794650869175	0.3294098502929052
MTA3	43269	0.16813979258842485	0.3286115887442343
HCFC1	46514	0.1597508726337694	0.32796248264298256
MLLT1	48874	0.1533349028191279	0.32745028228472606
MXI1	41340	0.1728387060946754	0.32699962025850554
STAT3	44898	0.1653112039705821	0.32654916958626407
NFIC	45340	0.1631264667432735	0.32524104225875855
MAX	46977	0.15991215418204288	0.32518782332908724
TBP	48131	0.15721101573896146	0.3247595443863727
MYB	44265	0.1653622360161657	0.3239611440906638
ATF7	49634	0.15150291276195382	0.3230931936645431
CHD2	49805	0.15336032621196158	0.3222489030814297
RELB	45777	0.16007175105646107	0.321803198455006
ZNF207	47934	0.1548038877292059	0.32159666675239834
MEF2C	43638	0.16757798958963205	0.32074907588606216
ZNF384	46262	0.16118287368762357	0.3206395960446034
CBFB	47385	0.15741515362555086	0.3205913519940038
CEBPZ	47541	0.15794767156937187	0.32057620074090326
RFX5	45813	0.16174860987695186	0.32035845041568084
WRNIP1	50791	0.15166634182707112	0.32019228386649157
YY1	53831	0.14263401753241275	0.3197622730206671
STAT1	45445	0.16076964309796538	0.3169917320330719
NRF1	48459	0.15612344544025053	0.31615479820856673
E2F4	53702	0.14508672616067955	0.31611976047904194
EBF1	49314	0.1541075482864634	0.31571629018190095
ELK1	43051	0.16884856749266097	0.3150156070313784
IKZF2	51307	0.14684008233812726	0.3146854866473221
ZNF217	46562	0.1568792971293664	0.3143785540211211
ZSCAN29	51366	0.14693076934573093	0.3141622872333879
CUX1	47225	0.1590857382795319	0.31409932168657506
MTA2	49705	0.15019232401638447	0.3139612390426723
TCF7	45797	0.16113876091116214	0.3139179065104991
BCL11A	49732	0.153601188214421	0.3137466577959655
NFYB	51345	0.15039804683175526	0.31357025859929516
JUND	51319	0.14981182747154145	0.3135581725137185
ZZZ3	56346	0.13960419910259816	0.31330216942750894
EED	46841	0.15811210683940238	0.31279842833166366
SIN3A	48984	0.15472995937800185	0.3125087316001372
POLR2AphosphoS2	51655	0.1501664288404283	0.3123186624047209
ZEB1	47888	0.15790641948542833	0.3122974849560253
ZNF687	47965	0.15422202246229846	0.31221789084940504
MAFK	54409	0.1440760542908756	0.3114787121849486
BACH1	46901	0.15689301987727708	0.3113427584858949
TCF12	46759	0.15708251330995346	0.31084814679664285
IKZF1	51629	0.15007003823079318	0.31068891783616387
ARID3A	41091	0.17088762995539625	0.310139220925327
IRF3	49580	0.15424412630144493	0.31004900416976355
DPF2	49382	0.15108722769195426	0.3099705596199285
NR2F1	48357	0.1532292054855631	0.3097948142098816
NFYA	52315	0.14851453944751392	0.3097107740330683
NR2C2	50564	0.1518858669855908	0.3096896140071628
USF2	55296	0.1423086837023485	0.3093798076358469
UBTF	50709	0.15114737844293663	0.3092729712269542
TAF1	55573	0.14153116038665228	0.3090464890644909
CEBPB	52468	0.14727709229233701	0.30886482150020056
RAD51	46176	0.15833587678953975	0.30879778903731
EP300	50005	0.1533991730258918	0.3087207992188087
HDGF	48718	0.15320874601401457	0.30795865369927183
BRCA1	54400	0.14425234846169277	0.3078327898013638
NFE2	46957	0.16051567033731742	0.30775236162073544
POLR2AphosphoS5	52989	0.14698581285906323	0.30701012493052704
ZBED1	52812	0.1463820357834276	0.3064681662863284
PKNOX1	45848	0.15945213077061193	0.30637691485571783
POLR2A	53842	0.14458778538232467	0.3061241600689911
ETV6	47702	0.1566189329051346	0.3060098040477079
GATAD2B	51333	0.14706336031196246	0.3059799805469029
BCLAF1	52558	0.14561070256435427	0.30596047354199235
USF1	52634	0.14757712931596448	0.3057701871641538
REST	52313	0.14849140610488604	0.3057609964966913
ZBTB33	50643	0.1489678212167005	0.30539330580254725
BMI1	47296	0.15576966850998739	0.30499811905719365
NR2C1	49659	0.15063303464576144	0.304859977395454
JUNB	49047	0.15389486743009012	0.30473612305824016
YBX1	51896	0.14693672192492857	0.304067788308476
GABPA	50314	0.15169230530813632	0.30393000037392964
EZH2	58970	0.13561539132086833	0.3038171027785271
SRF	56634	0.1395866407009422	0.30310731200184826
RBBP5	53031	0.14606876482612563	0.30139097970735235
CBX3	49261	0.15363499865356442	0.30094502693768377
ZNF622	51080	0.14825169368459362	0.3005511752638474
SMAD5	49281	0.15399099242174322	0.3003570572427106
WHSC1	54541	0.1428033778203666	0.29984028393966283
KDM5A	52217	0.14734716964413472	0.29911952133093356
ASH2L	49909	0.1520590241171882	0.2988802001876759
KDM1A	54844	0.14223593580097948	0.2987839366515837
CBX8	53527	0.14468150760882076	0.29867362574219497
CHD1	59085	0.13464721459516013	0.2983771408049202
HDAC2	54898	0.14209830781571192	0.2981394253414979
NFXL1	51941	0.14639701246029052	0.2980052461416458
CTBP1	55657	0.14033572132210367	0.29778338355172496
CHD4	54577	0.1421691996744463	0.29746087285450845
CHD7	51337	0.14866206226302825	0.29626716159244826
IRF5	51771	0.1472504544284747	0.29615229431830686
ZBTB40	48856	0.15348896603493498	0.29585678786956743
ATF2	54867	0.14142327888070946	0.2956972769067547
FOXK2	56691	0.1377129862112754	0.29477228955957147
MYC	57033	0.13678175793248298	0.29410885683085236
